,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331166400.0,"[181.4, 181.46, 181.51, 0.0, 0.0]","[4, 1, 1, 0, 0]","[181.32, 181.31, 181.09, 0.0, 0.0]","[8, 1, 1, 0, 0]",191.0,182.2,181.32,0.0,180.8,182.69,13,1775633,0.0,0,20240202 13:37:36,17756
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331275200.0,"[181.51, 181.58, 181.66, 0.0, 0.0]","[1, 2, 1, 0, 0]","[181.34, 181.33, 181.32, 0.0, 0.0]","[1, 3, 15, 0, 0]",191.0,182.2,181.46,0.0,180.8,182.69,13,1776233,0.0,0,20240202 13:37:39,17762
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331275200.0,"[181.51, 181.58, 181.66, 0.0, 0.0]","[1, 2, 1, 0, 0]","[181.34, 181.33, 181.32, 0.0, 0.0]","[1, 3, 15, 0, 0]",191.0,182.2,181.46,0.0,180.8,182.69,13,1776233,0.0,0,20240202 13:37:39,17762
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331275200.0,"[181.51, 181.58, 181.66, 0.0, 0.0]","[1, 2, 1, 0, 0]","[181.34, 181.33, 181.32, 0.0, 0.0]","[1, 3, 15, 0, 0]",191.0,182.2,181.46,0.0,180.8,182.69,13,1776233,0.0,0,20240202 13:37:39,17762
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331365900.0,"[181.49, 181.57, 181.58, 0.0, 0.0]","[1, 2, 2, 0, 0]","[181.4, 181.34, 181.33, 0.0, 0.0]","[1, 1, 1, 0, 0]",191.0,182.2,181.49,0.0,180.8,182.69,13,1776733,0.0,0,20240202 13:37:45,17767
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331365900.0,"[181.49, 181.57, 181.58, 0.0, 0.0]","[1, 2, 2, 0, 0]","[181.4, 181.34, 181.33, 0.0, 0.0]","[1, 1, 1, 0, 0]",191.0,182.2,181.49,0.0,180.8,182.69,13,1776733,0.0,0,20240202 13:37:45,17767
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331365900.0,"[181.49, 181.57, 181.58, 0.0, 0.0]","[1, 2, 2, 0, 0]","[181.4, 181.34, 181.33, 0.0, 0.0]","[1, 1, 1, 0, 0]",191.0,182.2,181.49,0.0,180.8,182.69,13,1776733,0.0,0,20240202 13:37:45,17767
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331384100.0,"[181.57, 181.58, 181.66, 0.0, 0.0]","[2, 2, 1, 0, 0]","[181.4, 181.35, 181.34, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.49,0.0,180.8,182.69,13,1776833,0.0,0,20240202 13:37:48,17768
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331384100.0,"[181.57, 181.58, 181.66, 0.0, 0.0]","[2, 2, 1, 0, 0]","[181.4, 181.35, 181.34, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.49,0.0,180.8,182.69,13,1776833,0.0,0,20240202 13:37:48,17768
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331384100.0,"[181.57, 181.58, 181.66, 0.0, 0.0]","[2, 2, 1, 0, 0]","[181.4, 181.35, 181.34, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.49,0.0,180.8,182.69,13,1776833,0.0,0,20240202 13:37:48,17768
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331402200.0,"[181.54, 181.57, 181.58, 0.0, 0.0]","[1, 5, 2, 0, 0]","[181.4, 181.35, 181.34, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.54,0.0,180.8,182.69,13,1776933,0.0,0,20240202 13:37:51,17769
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331438500.0,"[181.52, 181.57, 181.58, 0.0, 0.0]","[2, 4, 2, 0, 0]","[181.4, 181.35, 181.34, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.57,0.0,180.8,182.69,13,1777133,0.0,0,20240202 13:37:54,17771
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331456700.0,"[181.52, 181.53, 181.57, 0.0, 0.0]","[2, 2, 4, 0, 0]","[181.4, 181.35, 181.34, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.51,0.0,180.8,182.69,13,1777233,0.0,0,20240202 13:37:57,17772
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331456700.0,"[181.52, 181.53, 181.57, 0.0, 0.0]","[2, 2, 4, 0, 0]","[181.4, 181.35, 181.34, 0.0, 0.0]","[1, 1, 2, 0, 0]",191.0,182.2,181.51,0.0,180.8,182.69,13,1777233,0.0,0,20240202 13:37:57,17772
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331511200.0,"[181.52, 181.53, 181.57, 0.0, 0.0]","[1, 2, 4, 0, 0]","[181.4, 181.35, 181.34, 0.0, 0.0]","[5, 1, 2, 0, 0]",191.0,182.2,181.52,0.0,180.8,182.69,13,1777533,0.0,0,20240202 13:38:00,17775
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331511200.0,"[181.52, 181.53, 181.57, 0.0, 0.0]","[1, 2, 4, 0, 0]","[181.4, 181.35, 181.34, 0.0, 0.0]","[5, 1, 2, 0, 0]",191.0,182.2,181.52,0.0,180.8,182.69,13,1777533,0.0,0,20240202 13:38:00,17775
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331511200.0,"[181.52, 181.53, 181.57, 0.0, 0.0]","[1, 2, 4, 0, 0]","[181.4, 181.35, 181.34, 0.0, 0.0]","[5, 1, 2, 0, 0]",191.0,182.2,181.52,0.0,180.8,182.69,13,1777533,0.0,0,20240202 13:38:00,17775
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331511200.0,"[181.52, 181.53, 181.57, 0.0, 0.0]","[1, 2, 4, 0, 0]","[181.4, 181.35, 181.34, 0.0, 0.0]","[5, 1, 2, 0, 0]",191.0,182.2,181.52,0.0,180.8,182.69,13,1777533,0.0,0,20240202 13:38:00,17775
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,331511200.0,"[181.52, 181.53, 181.57, 0.0, 0.0]","[2, 2, 4, 0, 0]","[181.4, 181.35, 181.34, 0.0, 0.0]","[7, 1, 2, 0, 0]",191.0,182.2,181.52,0.0,180.8,182.69,13,1777533,0.0,0,20240202 13:38:03,17775
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
