open,182.69
openInt,13
pvolume,43932
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:51
volume,439
,603444.SH
amount,8354500.0
askPrice,"[186.57, 186.58, 186.59, 0.0, 0.0]"
askVol,"[2, 6, 2, 0, 0]"
bidPrice,"[186.01, 186.0, 185.98, 0.0, 0.0]"
bidVol,"[1, 2, 2, 0, 0]"
high,186.57
lastClose,182.2
lastPrice,186.57
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,45232
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:54
volume,452
,603444.SH
amount,8559500.0
askPrice,"[186.5, 186.55, 186.56, 0.0, 0.0]"
askVol,"[9, 4, 2, 0, 0]"
bidPrice,"[186.0, 185.98, 185.97, 0.0, 0.0]"
bidVol,"[2, 1, 9, 0, 0]"
high,186.57
lastClose,182.2
lastPrice,186.5
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,46332
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:57
volume,463
,603444.SH
amount,8876200.0
askPrice,"[186.46, 186.47, 186.48, 0.0, 0.0]"
askVol,"[1, 1, 4, 0, 0]"
bidPrice,"[186.0, 185.99, 185.98, 0.0, 0.0]"
bidVol,"[1, 1, 1, 0, 0]"
high,186.57
lastClose,182.2
lastPrice,186.5
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,48032
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:00
volume,480
,603444.SH
amount,9025100.0
askPrice,"[186.45000000000002, 186.46, 186.47, 0.0, 0.0]"
askVol,"[1, 5, 1, 0, 0]"
bidPrice,"[185.99, 185.98, 185.97, 0.0, 0.0]"
bidVol,"[1, 1, 1, 0, 0]"
high,186.57
lastClose,182.2
lastPrice,186.01
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,48832
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:03
volume,488
,603444.SH
amount,9453500.0
askPrice,"[186.39000000000001, 186.44, 186.45000000000002, 0.0, 0.0]"
